group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
part one no,,,,,1029625.0,ns,535
part one no,,,,,2046583.0,ns,1070
part one no,,,,,2962083.0,ns,1605
part one no,,,,,3970166.0,ns,2140
part one no,,,,,4950416.0,ns,2675
part one no,,,,,5947166.0,ns,3210
part one no,,,,,6938458.0,ns,3745
part one no,,,,,7896291.0,ns,4280
part one no,,,,,8906000.0,ns,4815
part one no,,,,,9885583.0,ns,5350
part one no,,,,,10871583.0,ns,5885
part one no,,,,,11855375.0,ns,6420
part one no,,,,,12864166.0,ns,6955
part one no,,,,,13825666.0,ns,7490
part one no,,,,,14832333.0,ns,8025
part one no,,,,,15796416.0,ns,8560
part one no,,,,,16814208.0,ns,9095
part one no,,,,,17772750.0,ns,9630
part one no,,,,,18764291.0,ns,10165
part one no,,,,,19748916.0,ns,10700
part one no,,,,,20756916.0,ns,11235
part one no,,,,,21740416.0,ns,11770
part one no,,,,,22810166.0,ns,12305
part one no,,,,,23795791.0,ns,12840
part one no,,,,,24759541.0,ns,13375
part one no,,,,,25813750.0,ns,13910
part one no,,,,,26773416.0,ns,14445
part one no,,,,,27756500.0,ns,14980
part one no,,,,,28798875.0,ns,15515
part one no,,,,,29689708.0,ns,16050
part one no,,,,,30757083.0,ns,16585
part one no,,,,,31695583.0,ns,17120
part one no,,,,,32733291.0,ns,17655
part one no,,,,,33711083.0,ns,18190
part one no,,,,,34756083.0,ns,18725
part one no,,,,,35753000.0,ns,19260
part one no,,,,,36914000.0,ns,19795
part one no,,,,,37908375.0,ns,20330
part one no,,,,,38802166.0,ns,20865
part one no,,,,,39766750.0,ns,21400
part one no,,,,,40671208.0,ns,21935
part one no,,,,,41662541.0,ns,22470
part one no,,,,,42573125.0,ns,23005
part one no,,,,,43517250.0,ns,23540
part one no,,,,,44472708.0,ns,24075
part one no,,,,,45476625.0,ns,24610
part one no,,,,,46471125.0,ns,25145
part one no,,,,,47594125.0,ns,25680
part one no,,,,,48618875.0,ns,26215
part one no,,,,,49712041.0,ns,26750
part one no,,,,,50650166.0,ns,27285
part one no,,,,,51487791.0,ns,27820
part one no,,,,,52649500.0,ns,28355
part one no,,,,,53599375.0,ns,28890
part one no,,,,,54551625.0,ns,29425
part one no,,,,,55329041.0,ns,29960
part one no,,,,,56256125.0,ns,30495
part one no,,,,,57329708.0,ns,31030
part one no,,,,,58221666.0,ns,31565
part one no,,,,,59252333.0,ns,32100
part one no,,,,,60554666.0,ns,32635
part one no,,,,,61200041.0,ns,33170
part one no,,,,,62179458.0,ns,33705
part one no,,,,,63230416.0,ns,34240
part one no,,,,,64234500.0,ns,34775
part one no,,,,,65251958.0,ns,35310
part one no,,,,,66437916.0,ns,35845
part one no,,,,,67142416.0,ns,36380
part one no,,,,,68147333.0,ns,36915
part one no,,,,,69385375.0,ns,37450
part one no,,,,,70371000.0,ns,37985
part one no,,,,,71426750.0,ns,38520
part one no,,,,,72165541.0,ns,39055
part one no,,,,,73105958.0,ns,39590
part one no,,,,,74027875.0,ns,40125
part one no,,,,,75348333.0,ns,40660
part one no,,,,,76011916.0,ns,41195
part one no,,,,,77049916.0,ns,41730
part one no,,,,,78025458.0,ns,42265
part one no,,,,,78978041.0,ns,42800
part one no,,,,,80117833.0,ns,43335
part one no,,,,,81243250.0,ns,43870
part one no,,,,,81975666.0,ns,44405
part one no,,,,,83047500.0,ns,44940
part one no,,,,,84194625.0,ns,45475
part one no,,,,,85083875.0,ns,46010
part one no,,,,,86088833.0,ns,46545
part one no,,,,,87385458.0,ns,47080
part one no,,,,,88316083.0,ns,47615
part one no,,,,,89226333.0,ns,48150
part one no,,,,,89835583.0,ns,48685
part one no,,,,,90944666.0,ns,49220
part one no,,,,,91957375.0,ns,49755
part one no,,,,,93184833.0,ns,50290
part one no,,,,,94161625.0,ns,50825
part one no,,,,,95112000.0,ns,51360
part one no,,,,,95841125.0,ns,51895
part one no,,,,,96911791.0,ns,52430
part one no,,,,,98273458.0,ns,52965
part one no,,,,,99047458.0,ns,53500
