group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
part one,,,,,1539083.0,ns,101
part one,,,,,2060208.0,ns,202
part one,,,,,3118583.0,ns,303
part one,,,,,4113416.0,ns,404
part one,,,,,5341458.0,ns,505
part one,,,,,6039916.0,ns,606
part one,,,,,7374833.0,ns,707
part one,,,,,8534041.0,ns,808
part one,,,,,9474375.0,ns,909
part one,,,,,9969916.0,ns,1010
part one,,,,,10967791.0,ns,1111
part one,,,,,12255541.0,ns,1212
part one,,,,,12988041.0,ns,1313
part one,,,,,14006500.0,ns,1414
part one,,,,,14987291.0,ns,1515
part one,,,,,15972458.0,ns,1616
part one,,,,,16968833.0,ns,1717
part one,,,,,17955500.0,ns,1818
part one,,,,,18911833.0,ns,1919
part one,,,,,19907416.0,ns,2020
part one,,,,,20857625.0,ns,2121
part one,,,,,21866541.0,ns,2222
part one,,,,,23017333.0,ns,2323
part one,,,,,23900083.0,ns,2424
part one,,,,,24999791.0,ns,2525
part one,,,,,25859916.0,ns,2626
part one,,,,,26892333.0,ns,2727
part one,,,,,27863000.0,ns,2828
part one,,,,,28814875.0,ns,2929
part one,,,,,29831333.0,ns,3030
part one,,,,,30749458.0,ns,3131
part one,,,,,31815916.0,ns,3232
part one,,,,,32761541.0,ns,3333
part one,,,,,33755666.0,ns,3434
part one,,,,,34778291.0,ns,3535
part one,,,,,35707291.0,ns,3636
part one,,,,,36661125.0,ns,3737
part one,,,,,37669958.0,ns,3838
part one,,,,,38764791.0,ns,3939
part one,,,,,39703000.0,ns,4040
part one,,,,,40737458.0,ns,4141
part one,,,,,41664416.0,ns,4242
part one,,,,,42842750.0,ns,4343
part one,,,,,43522375.0,ns,4444
part one,,,,,44517833.0,ns,4545
part one,,,,,45585458.0,ns,4646
part one,,,,,46852958.0,ns,4747
part one,,,,,47561291.0,ns,4848
part one,,,,,48463666.0,ns,4949
part one,,,,,49504291.0,ns,5050
part one,,,,,50477083.0,ns,5151
part one,,,,,51780833.0,ns,5252
part one,,,,,52690291.0,ns,5353
part one,,,,,53545250.0,ns,5454
part one,,,,,54476458.0,ns,5555
part one,,,,,55503750.0,ns,5656
part one,,,,,56586958.0,ns,5757
part one,,,,,57566000.0,ns,5858
part one,,,,,58507625.0,ns,5959
part one,,,,,59448916.0,ns,6060
part one,,,,,60407375.0,ns,6161
part one,,,,,61593291.0,ns,6262
part one,,,,,62464291.0,ns,6363
part one,,,,,63527500.0,ns,6464
part one,,,,,64522916.0,ns,6565
part one,,,,,65544333.0,ns,6666
part one,,,,,66523875.0,ns,6767
part one,,,,,67554375.0,ns,6868
part one,,,,,68539208.0,ns,6969
part one,,,,,69511000.0,ns,7070
part one,,,,,70552250.0,ns,7171
part one,,,,,71392416.0,ns,7272
part one,,,,,72452958.0,ns,7373
part one,,,,,73323041.0,ns,7474
part one,,,,,74497250.0,ns,7575
part one,,,,,75403791.0,ns,7676
part one,,,,,76827000.0,ns,7777
part one,,,,,77469416.0,ns,7878
part one,,,,,78578083.0,ns,7979
part one,,,,,79357000.0,ns,8080
part one,,,,,80714791.0,ns,8181
part one,,,,,81518000.0,ns,8282
part one,,,,,82472041.0,ns,8383
part one,,,,,83263083.0,ns,8484
part one,,,,,84360375.0,ns,8585
part one,,,,,85226333.0,ns,8686
part one,,,,,86260958.0,ns,8787
part one,,,,,87296291.0,ns,8888
part one,,,,,88414416.0,ns,8989
part one,,,,,89219500.0,ns,9090
part one,,,,,90835291.0,ns,9191
part one,,,,,91160166.0,ns,9292
part one,,,,,92006000.0,ns,9393
part one,,,,,93013916.0,ns,9494
part one,,,,,94089916.0,ns,9595
part one,,,,,95014625.0,ns,9696
part one,,,,,96128291.0,ns,9797
part one,,,,,97201333.0,ns,9898
part one,,,,,98321583.0,ns,9999
part one,,,,,99500750.0,ns,10100
