group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
part two no,,,,,1045583.0,ns,55
part two no,,,,,2063250.0,ns,110
part two no,,,,,3009125.0,ns,165
part two no,,,,,4035041.0,ns,220
part two no,,,,,5011083.0,ns,275
part two no,,,,,6042166.0,ns,330
part two no,,,,,7014166.0,ns,385
part two no,,,,,8098916.0,ns,440
part two no,,,,,9022250.0,ns,495
part two no,,,,,10051041.0,ns,550
part two no,,,,,11056791.0,ns,605
part two no,,,,,12023083.0,ns,660
part two no,,,,,13047791.0,ns,715
part two no,,,,,14056708.0,ns,770
part two no,,,,,15068125.0,ns,825
part two no,,,,,16055500.0,ns,880
part two no,,,,,17047708.0,ns,935
part two no,,,,,18068791.0,ns,990
part two no,,,,,19067333.0,ns,1045
part two no,,,,,20075583.0,ns,1100
part two no,,,,,21057541.0,ns,1155
part two no,,,,,22122541.0,ns,1210
part two no,,,,,23070541.0,ns,1265
part two no,,,,,24086916.0,ns,1320
part two no,,,,,25118875.0,ns,1375
part two no,,,,,26105958.0,ns,1430
part two no,,,,,27090000.0,ns,1485
part two no,,,,,28108333.0,ns,1540
part two no,,,,,29114250.0,ns,1595
part two no,,,,,30119625.0,ns,1650
part two no,,,,,31083708.0,ns,1705
part two no,,,,,32159666.0,ns,1760
part two no,,,,,33102125.0,ns,1815
part two no,,,,,34140291.0,ns,1870
part two no,,,,,35110250.0,ns,1925
part two no,,,,,36149250.0,ns,1980
part two no,,,,,37157708.0,ns,2035
part two no,,,,,38109791.0,ns,2090
part two no,,,,,39126166.0,ns,2145
part two no,,,,,40122250.0,ns,2200
part two no,,,,,41150416.0,ns,2255
part two no,,,,,42469791.0,ns,2310
part two no,,,,,43132833.0,ns,2365
part two no,,,,,44158916.0,ns,2420
part two no,,,,,45178458.0,ns,2475
part two no,,,,,46169500.0,ns,2530
part two no,,,,,47138458.0,ns,2585
part two no,,,,,48119458.0,ns,2640
part two no,,,,,49124541.0,ns,2695
part two no,,,,,50148791.0,ns,2750
part two no,,,,,51151291.0,ns,2805
part two no,,,,,52153708.0,ns,2860
part two no,,,,,53137375.0,ns,2915
part two no,,,,,54167125.0,ns,2970
part two no,,,,,55144833.0,ns,3025
part two no,,,,,56115833.0,ns,3080
part two no,,,,,57143500.0,ns,3135
part two no,,,,,58192708.0,ns,3190
part two no,,,,,59160625.0,ns,3245
part two no,,,,,60119708.0,ns,3300
part two no,,,,,61432208.0,ns,3355
part two no,,,,,62146000.0,ns,3410
part two no,,,,,63144000.0,ns,3465
part two no,,,,,64180291.0,ns,3520
part two no,,,,,65167666.0,ns,3575
part two no,,,,,66154666.0,ns,3630
part two no,,,,,67191708.0,ns,3685
part two no,,,,,68159083.0,ns,3740
part two no,,,,,69168875.0,ns,3795
part two no,,,,,70184208.0,ns,3850
part two no,,,,,71173458.0,ns,3905
part two no,,,,,72180583.0,ns,3960
part two no,,,,,73194541.0,ns,4015
part two no,,,,,74222625.0,ns,4070
part two no,,,,,75188791.0,ns,4125
part two no,,,,,76377958.0,ns,4180
part two no,,,,,77186416.0,ns,4235
part two no,,,,,78215708.0,ns,4290
part two no,,,,,79248708.0,ns,4345
part two no,,,,,80227541.0,ns,4400
part two no,,,,,81263875.0,ns,4455
part two no,,,,,82306916.0,ns,4510
part two no,,,,,83304083.0,ns,4565
part two no,,,,,84223541.0,ns,4620
part two no,,,,,85213416.0,ns,4675
part two no,,,,,86225625.0,ns,4730
part two no,,,,,87287333.0,ns,4785
part two no,,,,,88525125.0,ns,4840
part two no,,,,,89211541.0,ns,4895
part two no,,,,,90254250.0,ns,4950
part two no,,,,,91212208.0,ns,5005
part two no,,,,,92327458.0,ns,5060
part two no,,,,,93238416.0,ns,5115
part two no,,,,,94258666.0,ns,5170
part two no,,,,,95270541.0,ns,5225
part two no,,,,,96234583.0,ns,5280
part two no,,,,,97216833.0,ns,5335
part two no,,,,,98217666.0,ns,5390
part two no,,,,,99610958.0,ns,5445
part two no,,,,,100262125.0,ns,5500
